Orthography	WorldBet	Frame1	Target1	Target2	Frame2	AudioFileAAE	AudioFileSAE	TargetStructure	Frequency	ComparisonPair
yougoyt	jugoit	ju	g	oi	t	jugoit.wav	jugoit_A.wav	CV	low	CV1
bogeeb	bogib	bo	g	i	b	bogib_01_A.wav	bogib_03_mono.wav	CV	high	CV1
moypudd	moip6d		m	oi	p6d	moip6d_01_A.wav	moip6d_03_mono.wav	CV	low	CV2
mabbep	maebEp		m	ae	bEp	maebEp_01_A.wav	maebEp_02_mono.wav	CV	high	CV2
voogeem	vugim		v	u	gim	vugim_01_A.wav	vugim_03_mono.wav	CV	low	CV3
viddag	vIdaeg		v	I	daeg	vIdaeg_01_A.wav	vIdaeg_01_mono.wav	CV	high	CV3
vookuhtem	vuk6tEm		v	u	k6tEm	vuk6tEm_01_A.wav	vukatEm_02_mono.wav	CV	low	CV4
viddigop	vIt6gap		v	I	t6gap	vIt6gap_02_A.wav	vIt6gap_02_mono.wav	CV	high	CV4
boduhyow	bod6jaU	bod6	j	aU		bod6jaU_01_A.wav	bod6jaU_02_mono.wav	CV	low	CV5
mayduhyou	med6ju	med6	j	u		med6ju_01_A.wav	med6ju_02_mono.wav	CV	high	CV5
gownuhpake	gaUn6pek		g	aU	n6pek	gaUn6pek_01_A.wav	gaUn6pek_02_mono.wav	CV	low	CV6
geetuhmoke	git6mok		g	i	t6mok	git6mok_01_A.wav	git6mok_03_mono.wav	CV	high	CV6
nubuhmunn	nUb6m6n		n	U	b6m6n	nUb6m6n_01_A.wav	nUb6m6n_02_mono.wav	CV	low	CV7
nidduhbip	nId6bIp		n	I	d6bIp	nId6bIp_01_A.wav	nId6bIp_01_mono.wav	CV	high	CV7
motowk	motaUk	mot	aU	k		motaUk_01_A.wav	motaUk_02_mono.wav	VC	low	VC1
payteek	petik	pet	i	k		petik_01_A.wav	petik_02_mono.wav	VC	high	VC1
doenewg	donug	don	u	g		donug_01_A.wav	donug_01_mono.wav	VC	low	VC2
baydag	bedaeg	bed	ae	g		bedaeg_02_A.wav	bedaeg_03_mono.wav	VC	high	VC2
taydowm	tedaUm	ted	aU	m		tedaUm_01_A.wav	tedaUm_02_mono.wav	VC	low	VC3
podowd	podaUd	pod	aU	d		podaUd_01_A.wav	podaUd_02_mono.wav	VC	high	VC3
owptudd	aUpt6d		aU	p	t6d	aupt6d_02_A.wav	aupt6d_02_mono.wav	VC	low	VC4
eeptuhn	ipt6n		i	p	t6n	ipt6n_01_A.wav	ipt6n_01_mono.wav	VC	high	VC4
doognitade	dugn6ted	d	u	g	n6ted	dugn6ted_01_A.wav	dugn6ted_01_mono.wav	VC	low	VC5
tugnuhdeet	tVgn6dit	t	V	g	n6dit	tvgn6dit_01_A.wav	tvgn6dit_04_mono.wav	VC	high	VC5
owkpuhday	aUkp6de		aU	k	p6de	aUkp6de_02_A.wav	aUkp6de_02_mono.wav	VC	low	VC6
eekbuhnee	ikb6ni		i	k	b6ni	ikb6ni_01_A.wav	ikb6ni_01_mono.wav	VC	high	VC6
owftuhga	aUft6ga		aU	f	t6ga	auft6ga_01_A.wav	auft6ga_03_mono.wav	VC	low	VC7
ountuhko	aUnt6ko		aU	n	t6ko	aunt6ko_01_A.wav	aunt6ko_02_mono.wav	VC	high	VC7
