OrigOrder	Orthography	WorldBet	Frame1	Target1	Target2	Frame2	TP3_AudioFileAAE	TP3_AudioFileSAE	TargetStructure	Frequency	ComparisonPair	TP2_AudioFileAAE	TP2_AudioFileSAE	LexFreq
27	owftuhga	aUft6ga		aU	f	t6ga	auft6ga_A.wav	auft6ga.wav	VC	low	VC7	auft6ga_01_A.wav	auft6ga_03_mono.wav	
25	owkpuhday	aUkp6de		aU	k	p6de	aUkp6de_A.wav	aUkp6de.wav	VC	low	VC6	aUkp6de_02_A.wav	aUkp6de_02_mono.wav	
28	ountuhko	aUnt6ko		aU	n	t6ko	aunt6ko_A.wav	aunt6ko.wav	VC	high	VC7	aunt6ko_01_A.wav	aunt6ko_02_mono.wav	
21	owptudd	aUpt6d		aU	p	t6d	aupt6d_A.wav	aupt6d.wav	VC	low	VC4	aupt6d_02_A.wav	aupt6d_02_mono.wav	
18	baydag	bedaeg	bed	ae	g		bedaeg_A.wav	bedaeg.wav	VC	high	VC2	bedaeg_02_A.wav	bedaeg_03_mono.wav	
9	boduhyow	bod6jaU	bod6	j	aU		bod6jaU_A.wav	bod6jaU.wav	CV	low	CV5	bod6jaU_01_A.wav	bod6jaU_02_mono.wav	
2	bogeeb	bogib	bo	g	i	b	bogib_A.wav	bogib.wav	CV	high	CV1	bogib_01_A.wav	bogib_03_mono.wav	
33	boofkeet	bufkit	bu	f	k	it	bufkit_A.wav	bufkit.wav	CC	low	CC3	bufkit_01_A.wav	bufkit_02_mono.wav	
43	degdinay	dEgd6ne	dE	g	d	6ne	dEgd6ne_A.wav	dEgd6ne.wav	CC	low	CC8	dEgd6ne_01_A.wav	dEgd6ne_02_mono.wav	
35	doagdate	dogdet	do	g	d	et	dogdet_A.wav	dogdet.wav	CC	low	CC4	dogdet_02_A.wav	dogdet_02_mono.wav	
17	doenewg	donug	don	u	g		donug_A.wav	donug.wav	VC	low	VC2	donug_01_A.wav	donug_01_mono.wav	
23	doognitade	dugn6ted	d	u	g	n6ted	dugn6ted_A.wav	dugn6ted.wav	VC	low	VC5	dugn6ted_01_A.wav	dugn6ted_01_mono.wav	
38	fIk6taemp	fIk6taemp	fIk6tae	m	p		fIk6taemp_A.wav	fIk6taemp.wav	CC	high	CC5	fIk6taemp_03_A.wav	fIk6taemp_01_mono.wav	
11	gaUn6pek	gaUn6pek		g	aU	n6pek	gaUn6pek_A.wav	gaUn6pek.wav	CV	low	CV6	gaUn6pek_01_A.wav	gaUn6pek_02_mono.wav	
