Abbreviation	Word	WorldBet	TargetC	TargetV	Frame
CAKE	cake	kek	k	e	k
CARR	car	kar	k	ar	
CATT	cat	kaet	k	ae	t
CFEE	coffee	kafi	k	a	fi
CHAR	chair	tSEr	tS	Er	
CHEE	cheese	tSiz	tS	i	z
CHKN	chicken	tSIkIn	tS	I	kIn
CKIE	cookie	kUki	k	U	ki
CNDL	candle	kaend6l	k	ae	nd6l
CNDY	candy	kaendi	k	ae	ndi
COAT	coat	kot	k	o	t
COLD	cold	kold	k	o	ld
COMB	comb	kom	k	o	m
COWW	cow	kaU	k	aU	
CTCH	catch	kaetS	k	ae	tS
CTNG	cutting	kVtIN	k	V	tIN
CUPP	cup	kVp	k	V	p
GIRL	girl	g3rl	g	3r	l
KCHN	kitchen	kItSIn	k	I	tSIn
KEYS	keys	kiz	k	i	z
KTTY	kitty	kIti	k	I	ti
RAIN	rain	ren	r	e	n
RBBT	rabbit	raebIt	r	ae	bIt
RCKG	rocking	rakIN	r	a	kIN
RDNG	reading	ridIN	r	i	dIN
REDD	red	rEd	r	E	d
RING	ring	rIN	r	I	N
RNNG	running	rvnIN	r	v	nIN
ROCK	rock	rak	r	a	k
RSNS	raisins	rezInz	r	e	zInz
SADD	sad	saed	s	ae	d
SDWK	sidewalk	saIdwak	s	aI	dwak
SHDR	shoulder	Sold3r	S	o	ld3r
SHEP	sheep	Sip	S	i	p
SHEL	shell	SEl	S	E	l
SHIP	ship	SIp	S	I	p
SHOE	shoe	Su	S	u	
SHOS	shoes	Suz	S	u	z
SHRE	share	SEr	S	Er	
SHRG	sharing	SErIN	S	Er	IN
SHRT	shorts	Sorts	S	or	ts
SHVL	shovel	SVv6l	S	V	v6l
SHWR	shower	SaU6r	S	aU	6r
SICK	sick	sIk	s	I	k
SINK	sink	sINk	s	I	Nk
SNBX	sandbox	saendbaks	s	ae	ndbaks
SNNY	sunny	sVni	s	V	ni
SOAP	soap	sop	s	o	p
SOCK	sock	sak	s	a	k
SOUP	soup	sup	s	u	p
SSRS	scissors	sIz6rz	s	I	z6rz
SSTR	sister	sIst6r	s	I	st6r
STCS	suitcase	sutkes	s	u	tkes
SUNN	sun	sVn	s	V	n
SWCH	sandwich	saendwItS	s	ae	ndwItS
TABL	table	tebl	t	e	b6l
TAKE	take	tek	t	e	k
TAPE	tape	tep	t	e	p
TCKL	tickle	tIkl	t	I	k6l
TEDY	teddy bear	tEdibEr	t	E	dibEr
TENT	tent	tEnt	t	E	nt
THBR	toothbrush	tuTbrVS	t	u	TbrVS
TIGR	tiger	taIg6r	t	aI	g6r
TMMY	tummy	tVmi	t	V	mi
TNGE	tongue	tVN	t	V	N
TOST	toast	tost	t	o	st
TOTH	tooth	tuT	t	u	T	
TSTR	toaster	tost6r	t	o	st6r
WACH	watch	watS	w	a	tS
WALK	walk	wak	w	a	k
WATR	water	wat6r	w	a	t6r
WEBB	web	wEb	w	E	b
WETT	wet	wEt	w	E	t
WHEL	wheel	wil	w	i	l
WIND	wind	wInd	w	I	nd
WNDW	window	wIndo	w	I	ndo
WSHR	washer	waS6r	w	a	S6r
WTNG	waiting	wetIN	w	e	tIN
