Abbreviation	Orthography	WorldBet	Target1	Target2	Frame2	ComparisonPair	Block	AAEsoundFile	Abbreviation120
SHRT	shorts	Sorts	S	or	ts		Familiarization	SHRT_A_01_TP2	SHRT
GIRL	girl	g3rl	g	3r	l		Familiarization	GIRL_A_01	GIRL
COLD	cold	kold	k	o	ld		Familiarization	COLD_A_01	COLD
COWW	cow	kaU	k	aU			Familiarization	COWW_A_01	COWW
Cake	cake	kek	k	e	k		block2	cake_A	cake
CATT	cat	kaet	k	ae	t		block2	CATT_A_02_TP2	cat
CFEE	coffee	kafi	k	a	fi		block2	CFEE_A_01_TP2	coffee
Chair	chair	tSEr	tS	Er			block2	chair_A	chair
Cheese	cheese	tSiz	tS	i	z		block2	cheese_A	cheese
Chicken	chicken	tSIkIn	tS	I	kIn	chimmig	block1	chicken_A	chicken
CHKN	chicken	tSIkIn	tS	I	kIn	chisem	block3	CHKN_A_01_TP2	chicken2
CKIE	cookie	kUki	k	U	ki		block1	CKIE_A_01_TP2	cookie
CKIE	cookie	kUki	k	U	ki		block3	cookie_A	cookie2
Candle	candle	kaend6l	k	ae	nd6l		block2	candle_A	candle
Candy	candy	kaendi	k	ae	ndi		block1	candy_A	candy
candy	candy	kaendi	k	ae	ndi		block3	candy2_A	candy2
COAT	coat	kot	k	o	t		block2	coat_A	coat
CTNG	cutting	kVtIN	k	V	tIN		block2	CTNG_A_01_TP2	cutting
CUPP	cup	kVp	k	V	p		block2	CUPP_A_02_TP2	cup
KCHN	kitchen	kItSIn	k	I	tSIn		block2	KCHN_A_02_TP2	kitchen
Rain	rain	ren	r	e	n	refim	block2	rain_A	rain
RBBT	rabbit	raebIt	r	ae	bIt	raenol	block1	RBBT_A_02_TP2	rabbit
RBBT	rabbit	raebIt	r	ae	bIt		block3	RBBT_A_03_TP2	rabbit2
Reading	reading	ridIN	r	i	dIN	reefross	block2	reading_A	reading
REDD	red	rEd	r	E	d		block1	REDD_A_03_TP2	red
REDD	red	rEd	r	E	d		block3	REDD_A_04_TP2	red2
RNNG	running	rvnIN	r	V	nIN		block1	RNNG_A_01_TP2	running
RNNG	running	rvnIN	r	V	nIN	ruhmaid	block3	running_A	running2
ROCK	rock	rak	r	a	k		block1	ROCK_A_02_TP2	rock
ROCK	rock	rak	r	a	k		block3		rock2
Roof	roof	rUf	r	U	f		block1	roof_A	roof
Roof2	roof	rUf	r	U	f		block3	roof_A	roof2
Raisins	raisins	rezInz	r	e	zInz	raybith	block2	raisins_A	raisins
SDWK	sidewalk	saIdwak	s	aI	dwak	saiprote	block2	SDWK_A_04_TP2	sidewalk
SHDR	shoulder	Sold3r	S	o	ld3r		block1	SHDR_A_01_TP2	shoulder
SHDR	shoulder	Sold3r	S	o	ld3r		block3	shoulder_A	shoulder2
SHEEP	sheep	Sip	S	i	p		block1	sheep_A	sheep
SHEEP	sheep	Sip	S	i	p		block3	SHEEP_A_01_TP2	sheep2
SHEL	shell	SEl	S	E	l		block2	SHEL_A_01_TP2	shell
SHIP	ship	SIp	S	I	p		block1	SHIP_A_01_TP2	ship
SHIP	ship	SIp	S	I	p		block3	SHIP_A_02_TP2	ship2
SHOS	shoes	Suz	S	u	z		block2	SHOS_A_04_TP2	shoes
SHVL	shovel	SVv6l	S	V	v6l		block1	SHVL_A_01_TP2	shovel
SHVL	shovel	SVv6l	S	V	v6l		block3	shovel_A	shovel2
SHWR	shower	SaU6r	S	aU	6r		block1	SHWR_A_01_TP2	shower
SHWR	shower	SaU6r	S	aU	6r		block3	shower_A	shower2
SINK	sink	sINk	s	I	Nk		block2	SINK_A_02_TP2	sink
SNBX	sandbox	saendbaks	s	ae	ndbaks		block2	SNBX_A_02_TP2	sandbox
SOUP	soup	sup	s	u	p		block1	soup_A	soup
SOUP	soup	sup	s	u	p		block3	SOUP_A_01_TP2	soup2
SSRS	scissors	sIz6rz	s	I	z6rz		block2	SSSR_A_01_TP2	scissors
SSTR	sister	sIst6r	s	I	st6r		block2	SSTR_A_01_TP2	sister
STCS	suitcase	sutkes	s	u	tkes	soodross	block1	STCS_A_04_TP2	suitcase
STCS	suitcase	sutkes	s	u	tkes		block3	STCS_A_05_TP2	suitcase2
Sun	sun	sVn	s	V	n		block1	sun_A	sun
SUNN	sun	sVn	s	V	n		block3	SUNN_A_01_TP2	sun2
SWCH	sandwich	saendwItS	s	ae	ndwItS		block2	SWCH_A_02_TP2	sandwich
TABL	table	tebl	t	e	b6l		block2	TABL_A_01_TP2	table
TAKE	take	tek	t	e	k		block2	TAKE_A_03_TP3	take
TCKL	tickle	tIkl	t	I	k6l		block2	TCKL_A_01_TP2	tickle
TDBR	teddybear	tEdibEr	t	E	dibEr		block1	TDBR_A_01_TP2	teddybear
TDBR	teddybear	tEdibEr	t	E	dibEr		block3		teddybear2
TENT	tent	tEnt	t	E	nt		block2	TENT_A_01_TP2	tent
THBR	toothbrush	tuTbrVS	t	u	TbrVS		block2	THBR_A_05_TP2	toothbrush
TMMY	tummy	tVmi	t	V	mi		block1	tummy_A	tummy
TMMY	tummy	tVmi	t	V	mi		block3	TMMY_A_02_TP2	tummy2
TNGE	tongue	tVN	t	V	N		block2	TNGE_A_01_TP2	tongue
