Abbreviation	Orthography	WorldBet	Target1	Target2	Frame2	ComparisonPair	Block	AAEsoundFile	Abbreviation120
SHRT	shorts	Sorts	S	or	ts		Familiarization	SHRT_A_01_TP2	SHRT
GIRL	girl	g3rl	g	3r	l		Familiarization	GIRL_A_01	GIRL
COLD	cold	kold	k	o	ld		Familiarization	COLD_A_01	COLD
COWW	cow	kaU	k	aU			Familiarization	COWW_A_01	COWW
Cake	cake	kek	k	e	k		block1	cake_A	Cake
Cake	cake	kek	k	e	k		block3	cake_A	Cake
CATT	cat	kaet	k	ae	t		block2	CATT_A_02_TP2	Cat
CFEE	coffee	kafi	k	a	fi		block2	CFEE_A_01_TP2	Coffee
Chair	chair	tSEr	tS	Er			block2	chair_A	Chair
Cheese	cheese	tSiz	tS	i	z		block2	cheese_A	Cheese
Chicken	chicken	tSIkIn	tS	I	kIn	chimmig	block1	chicken_A	Chicken
CHKN	chicken	tSIkIn	tS	I	kIn	chisem	block3	CHKN_A_01_TP2	Chicken
CKIE	cookie	kUki	k	U	ki		block1	CKIE_A_01_TP2	Cookie
CKIE	cookie	kUki	k	U	ki		block3	cookie_A	Cookie
Candle	candle	kaend6l	k	ae	nd6l		block2	candle_A	Candle
Candy	candy	kaendi	k	ae	ndi		block1	candy_A	Candy
candy	candy	kaendi	k	ae	ndi		block3	candy2_A	Candy
COAT	coat	kot	k	o	t		block1	coat_A	Coat
COAT	coat	kot	k	o	t		block3	coat_A	Coat
CTNG	cutting	kVtIN	k	V	tIN		block2	CTNG_A_01_TP2	Cutting
CUPP	cup	kVp	k	V	p		block2	CUPP_A_02_TP2	Cup
KCHN	kitchen	kItSIn	k	I	tSIn		block2	KCHN_A_02_TP2	Kitchen
Rain	rain	ren	r	e	n	refim	block2	rain_A	Rain
RBBT	rabbit	raebIt	r	ae	bIt	raenol	block1	RBBT_A_02_TP2	Rabbit
RBBT	rabbit	raebIt	r	ae	bIt		block3	RBBT_A_03_TP2	Rabbit
Reading	reading	ridIN	r	i	dIN	reefross	block2	reading_A	Reading
REDD	red	rEd	r	E	d		block1	REDD_A_03_TP2	Red
REDD	red	rEd	r	E	d		block3	REDD_A_04_TP2	Red
RNNG	running	rvnIN	r	V	nIN		block1	RNNG_A_01_TP2	Running
RNNG	running	rvnIN	r	V	nIN	ruhmaid	block3	running_A	Running
ROCK	rock	rak	r	a	k		block1	ROCK_A_02_TP2	Rock
ROCK	rock	rak	r	a	k		block3		Rock
Roof	roof	rUf	r	U	f		block1	roof_A	Roof
Roof2	roof	rUf	r	U	f		block3	roof_A	Roof
Raisins	raisins	rezInz	r	e	zInz	raybith	block2	raisins_A	
SDWK	sidewalk	saIdwak	s	aI	dwak	saiprote	block1	SDWK_A_04_TP2	Sidewalk
SDWK	sidewalk	saIdwak	s	aI	dwak		block3	SDWK_A_04_TP2	Sidewalk
SHDR	shoulder	Sold3r	S	o	ld3r		block3	shoulder_A	Shoulder
SHDR	shoulder	Sold3r	S	o	ld3r		block1	shoulder_A	Shoulder
SHEEP	sheep	Sip	S	i	p		block1	sheep_A	Sheep
SHEEP	sheep	Sip	S	i	p		block3	SHEEP_A_01_TP2	Sheep
SHEL	shell	SEl	S	E	l		block1	SHEL_A_01_TP2	Shell
SHEL	shell	SEl	S	E	l		block3	SHEL_A_01_TP2	Shell
SHIP	ship	SIp	S	I	p		block1	SHIP_A_01_TP2	Ship
SHIP	ship	SIp	S	I	p		block3	SHIP_A_02_TP2	Ship
SHOS	shoes	Suz	S	u	z		block2	SHOS_A_04_TP2	Shoes
SHVL	shovel	SVv6l	S	V	v6l		block1	SHVL_A_01_TP2	Shovel
SHVL	shovel	SVv6l	S	V	v6l		block3	shovel_A	Shovel
SHWR	shower	SaU6r	S	aU	6r		block1	SHWR_A_01_TP2	Shower
SHWR	shower	SaU6r	S	aU	6r		block3	shower_A	Shower
SINK	sink	sINk	s	I	Nk		block2	SINK_A_02_TP2	Sink
SNBX	sandbox	saendbaks	s	ae	ndbaks		block2	SNBX_A_02_TP2	
SOUP	soup	sup	s	u	p		block1	soup_A	Soup
SOUP	soup	sup	s	u	p		block3	SOUP_A_01_TP2	Soup
SSRS	scissors	sIz6rz	s	I	z6rz		block2	SSSR_A_01_TP2	Scissors
SSTR	sister	sIst6r	s	I	st6r		block2	SSTR_A_01_TP2	Sister
STCS	suitcase	sutkes	s	u	tkes	soodross	block1	STCS_A_04_TP2	Suitcase
STCS	suitcase	sutkes	s	u	tkes		block3	STCS_A_05_TP2	Suitcase
Sun	sun	sVn	s	V	n		block2	sun_A	Sun
SUNN	sun	sVn	s	V	n		block3	SUNN_A_01_TP2	
SWCH	sandwich	saendwItS	s	ae	ndwItS		block1	SWCH_A_02_TP2	Sandwich
SWCH	sandwich	saendwItS	s	ae	ndwItS		block3	SWCH_A_02_TP2	Sandwich
TABL	table	tebl	t	e	b6l		block2	TABL_A_01_TP2	Table
TAKE	take	tek	t	e	k		block2	TAKE_A_03_TP3	Take
TCKL	tickle	tIkl	t	I	k6l		block2	TCKL_A_01_TP2	Tickle
TDBR	teddybear	tEdibEr	t	E	dibEr		block1	TDBR_A_01_TP2	Teddybear
